斥/岿/老,辆啊,措厚,芭贰樊(林),扁包_概荐樊(林),扁包_概档樊(林),扁包_鉴概荐(林),寇惫牢_概荐樊(林),寇惫牢_概档樊(林),寇惫牢_鉴概荐(林),辆格内靛,辆格疙,isu_cd
2001/10/09,4830.0,30.0,93360,5000,50000,-45000,0,0,0,000060,皋府明拳犁,KR7000060004
2001/10/08,4800.0,-35.0,104530,2000,0,2000,0,230,-230,000060,皋府明拳犁,KR7000060004
2001/10/05,4835.0,235.0,209410,0,8000,-8000,0,0,0,000060,皋府明拳犁,KR7000060004
2001/10/04,4600.0,275.0,54950,0,11000,-11000,0,0,0,000060,皋府明拳犁,KR7000060004
2001/09/28,4325.0,145.0,66610,0,5540,-5540,0,0,0,000060,皋府明拳犁,KR7000060004
2001/09/27,4180.0,120.0,13500,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/09/26,4060.0,-15.0,11850,1000,0,1000,0,0,0,000060,皋府明拳犁,KR7000060004
2001/09/25,4075.0,5.0,30930,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/09/24,4070.0,50.0,23780,0,10,-10,0,0,0,000060,皋府明拳犁,KR7000060004
2001/09/21,4020.0,-130.0,17230,920,0,920,0,0,0,000060,皋府明拳犁,KR7000060004
2001/09/20,4150.0,60.0,42380,8490,9410,-920,0,50,-50,000060,皋府明拳犁,KR7000060004
2001/09/19,4090.0,-10.0,66310,7210,7210,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/09/18,4100.0,400.0,38790,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/09/17,3700.0,-600.0,33690,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/09/14,4300.0,-200.0,128980,7000,0,7000,0,100,-100,000060,皋府明拳犁,KR7000060004
2001/09/13,4500.0,-80.0,193580,69990,116070,-46080,0,0,0,000060,皋府明拳犁,KR7000060004
2001/09/12,4580.0,-800.0,87720,0,10760,-10760,0,0,0,000060,皋府明拳犁,KR7000060004
2001/09/11,5380.0,-120.0,35430,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/09/10,5500.0,-100.0,27180,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/09/07,5600.0,150.0,66200,11000,0,11000,0,0,0,000060,皋府明拳犁,KR7000060004
2001/09/06,5450.0,40.0,36400,0,10,-10,0,0,0,000060,皋府明拳犁,KR7000060004
2001/09/05,5410.0,0.0,28000,5000,0,5000,0,0,0,000060,皋府明拳犁,KR7000060004
2001/09/04,5410.0,80.0,39120,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/09/03,5330.0,0.0,48710,4000,5010,-1010,0,100,-100,000060,皋府明拳犁,KR7000060004
2001/08/31,5330.0,-670.0,124820,0,0,0,0,100,-100,000060,皋府明拳犁,KR7000060004
2001/08/30,6000.0,40.0,67780,21000,0,21000,0,200,-200,000060,皋府明拳犁,KR7000060004
2001/08/29,5960.0,-440.0,94330,0,30,-30,0,0,0,000060,皋府明拳犁,KR7000060004
2001/08/28,6400.0,280.0,107930,0,6000,-6000,0,0,0,000060,皋府明拳犁,KR7000060004
2001/08/27,6120.0,-80.0,37750,0,0,0,0,0,0,000060,皋府明拳犁,KR7000060004
2001/08/24,6200.0,100.0,70680,6000,0,6000,0,200,-200,000060,皋府明拳犁,KR7000060004
